source_id,target_id,distance_km,weight,edge_type
23,27,169.0,0.005916,PROXIMATE_TO
23,28,204.5,0.00489,PROXIMATE_TO
23,29,197.9,0.005053,PROXIMATE_TO
23,61,218.9,0.004569,PROXIMATE_TO
23,68,140.2,0.007135,PROXIMATE_TO
23,69,299.3,0.003342,PROXIMATE_TO
23,94,109.0,0.009173,PROXIMATE_TO
23,141,172.7,0.005789,PROXIMATE_TO
23,142,152.9,0.006541,PROXIMATE_TO
23,143,266.3,0.003755,PROXIMATE_TO
23,147,237.7,0.004207,PROXIMATE_TO
23,148,224.3,0.004458,PROXIMATE_TO
23,150,257.1,0.003889,PROXIMATE_TO
24,25,118.5,0.008441,PROXIMATE_TO
24,30,152.4,0.006564,PROXIMATE_TO
24,31,214.6,0.00466,PROXIMATE_TO
24,32,210.2,0.004757,PROXIMATE_TO
24,33,249.7,0.004005,PROXIMATE_TO
24,39,188.9,0.005295,PROXIMATE_TO
24,40,244.1,0.004097,PROXIMATE_TO
24,98,235.8,0.004242,PROXIMATE_TO
24,99,176.1,0.005679,PROXIMATE_TO
25,30,205.1,0.004876,PROXIMATE_TO
25,39,299.7,0.003337,PROXIMATE_TO
25,98,134.7,0.007423,PROXIMATE_TO
25,99,88.5,0.011301,PROXIMATE_TO
26,27,26.1,0.038322,PROXIMATE_TO
26,28,39.3,0.025458,PROXIMATE_TO
26,29,193.2,0.005176,PROXIMATE_TO
26,61,262.2,0.003814,PROXIMATE_TO
26,68,172.4,0.005801,PROXIMATE_TO
26,69,268.4,0.003726,PROXIMATE_TO
26,94,294.1,0.0034,PROXIMATE_TO
26,131,283.4,0.003528,PROXIMATE_TO
26,134,192.8,0.005187,PROXIMATE_TO
26,135,280.9,0.003561,PROXIMATE_TO
26,136,226.1,0.004422,PROXIMATE_TO
26,141,54.2,0.018434,PROXIMATE_TO
26,142,43.8,0.022829,PROXIMATE_TO
26,143,83.0,0.012051,PROXIMATE_TO
26,144,190.9,0.005238,PROXIMATE_TO
26,145,118.3,0.008452,PROXIMATE_TO
26,146,167.8,0.005961,PROXIMATE_TO
26,147,86.7,0.011532,PROXIMATE_TO
26,148,49.0,0.020425,PROXIMATE_TO
26,149,150.8,0.00663,PROXIMATE_TO
26,150,128.6,0.007775,PROXIMATE_TO
27,28,64.4,0.015534,PROXIMATE_TO
27,29,203.4,0.004917,PROXIMATE_TO
27,61,236.4,0.004229,PROXIMATE_TO
27,68,146.3,0.006835,PROXIMATE_TO
27,69,247.1,0.004048,PROXIMATE_TO
27,94,275.7,0.003628,PROXIMATE_TO
27,131,296.5,0.003373,PROXIMATE_TO
27,134,205.8,0.004859,PROXIMATE_TO
27,135,284.3,0.003518,PROXIMATE_TO
27,136,244.4,0.004091,PROXIMATE_TO
27,141,31.3,0.0319,PROXIMATE_TO
27,142,18.7,0.053491,PROXIMATE_TO
27,143,97.4,0.010267,PROXIMATE_TO
27,144,208.8,0.00479,PROXIMATE_TO
27,145,134.6,0.007427,PROXIMATE_TO
27,146,164.7,0.006071,PROXIMATE_TO
27,147,81.6,0.012258,PROXIMATE_TO
27,148,55.7,0.017939,PROXIMATE_TO
27,149,172.7,0.005791,PROXIMATE_TO
27,150,118.5,0.008438,PROXIMATE_TO
28,29,170.7,0.00586,PROXIMATE_TO
28,68,209.5,0.004773,PROXIMATE_TO
28,131,281.2,0.003557,PROXIMATE_TO
28,134,192.6,0.005192,PROXIMATE_TO
28,135,293.9,0.003403,PROXIMATE_TO
28,136,214.7,0.004658,PROXIMATE_TO
28,141,93.5,0.010692,PROXIMATE_TO
28,142,80.1,0.012478,PROXIMATE_TO
28,143,88.1,0.011347,PROXIMATE_TO
28,144,181.4,0.005512,PROXIMATE_TO
28,145,115.7,0.008646,PROXIMATE_TO
28,146,191.3,0.005227,PROXIMATE_TO
28,147,116.1,0.008612,PROXIMATE_TO
28,148,72.4,0.013808,PROXIMATE_TO
28,149,133.1,0.007513,PROXIMATE_TO
28,150,160.3,0.00624,PROXIMATE_TO
29,68,297.4,0.003362,PROXIMATE_TO
29,94,279.3,0.00358,PROXIMATE_TO
29,141,232.2,0.004308,PROXIMATE_TO
29,142,204.9,0.004881,PROXIMATE_TO
29,143,258.0,0.003876,PROXIMATE_TO
29,145,280.3,0.003567,PROXIMATE_TO
29,147,279.9,0.003573,PROXIMATE_TO
29,148,239.8,0.004171,PROXIMATE_TO
29,149,276.5,0.003616,PROXIMATE_TO
30,31,211.4,0.00473,PROXIMATE_TO
30,32,265.3,0.003769,PROXIMATE_TO
30,33,204.3,0.004895,PROXIMATE_TO
30,35,273.6,0.003654,PROXIMATE_TO
30,39,163.4,0.006121,PROXIMATE_TO
30,40,227.1,0.004404,PROXIMATE_TO
30,99,291.0,0.003437,PROXIMATE_TO
31,32,91.1,0.010973,PROXIMATE_TO
31,33,63.4,0.015763,PROXIMATE_TO
31,34,204.7,0.004886,PROXIMATE_TO
31,35,105.1,0.009514,PROXIMATE_TO
31,36,229.7,0.004353,PROXIMATE_TO
31,37,97.4,0.010269,PROXIMATE_TO
31,38,146.4,0.00683,PROXIMATE_TO
31,39,49.2,0.020345,PROXIMATE_TO
31,40,31.5,0.031717,PROXIMATE_TO
32,33,153.8,0.006503,PROXIMATE_TO
32,34,220.6,0.004532,PROXIMATE_TO
32,35,176.2,0.005675,PROXIMATE_TO
32,36,264.8,0.003776,PROXIMATE_TO
32,37,134.8,0.00742,PROXIMATE_TO
32,38,159.1,0.006285,PROXIMATE_TO
32,39,127.2,0.007859,PROXIMATE_TO
32,40,112.9,0.008854,PROXIMATE_TO
33,34,204.1,0.004899,PROXIMATE_TO
33,35,70.4,0.014214,PROXIMATE_TO
33,36,211.7,0.004723,PROXIMATE_TO
33,37,103.6,0.009653,PROXIMATE_TO
33,38,157.3,0.006358,PROXIMATE_TO
33,39,61.0,0.0164,PROXIMATE_TO
33,40,44.9,0.022292,PROXIMATE_TO
34,35,141.3,0.007079,PROXIMATE_TO
34,36,61.2,0.01634,PROXIMATE_TO
34,37,107.7,0.009289,PROXIMATE_TO
34,38,62.2,0.016075,PROXIMATE_TO
34,39,246.4,0.004058,PROXIMATE_TO
34,40,181.4,0.005513,PROXIMATE_TO
34,45,279.0,0.003585,PROXIMATE_TO
34,46,238.5,0.004193,PROXIMATE_TO
34,47,247.0,0.004049,PROXIMATE_TO
34,48,169.0,0.005916,PROXIMATE_TO
34,49,106.3,0.009409,PROXIMATE_TO
34,50,225.2,0.004441,PROXIMATE_TO
35,36,141.8,0.007052,PROXIMATE_TO
35,37,63.7,0.015704,PROXIMATE_TO
35,38,107.5,0.009304,PROXIMATE_TO
35,39,126.9,0.007883,PROXIMATE_TO
35,40,73.6,0.01359,PROXIMATE_TO
35,49,243.0,0.004115,PROXIMATE_TO
35,50,245.9,0.004066,PROXIMATE_TO
36,37,135.6,0.007377,PROXIMATE_TO
36,38,108.8,0.009189,PROXIMATE_TO
36,39,264.0,0.003789,PROXIMATE_TO
36,40,201.5,0.004964,PROXIMATE_TO
36,46,284.7,0.003512,PROXIMATE_TO
36,47,279.9,0.003572,PROXIMATE_TO
36,48,198.2,0.005046,PROXIMATE_TO
36,49,112.8,0.008864,PROXIMATE_TO
36,50,164.1,0.006094,PROXIMATE_TO
37,38,53.9,0.018558,PROXIMATE_TO
37,39,139.1,0.007188,PROXIMATE_TO
37,40,74.1,0.013493,PROXIMATE_TO
37,48,265.9,0.003761,PROXIMATE_TO
37,49,213.9,0.004676,PROXIMATE_TO
37,50,275.3,0.003633,PROXIMATE_TO
38,39,191.2,0.005231,PROXIMATE_TO
38,40,126.8,0.007888,PROXIMATE_TO
38,45,298.4,0.003351,PROXIMATE_TO
38,46,258.5,0.003869,PROXIMATE_TO
38,47,282.8,0.003536,PROXIMATE_TO
38,48,212.1,0.004715,PROXIMATE_TO
38,49,165.2,0.006053,PROXIMATE_TO
38,50,266.9,0.003746,PROXIMATE_TO
39,40,65.1,0.015371,PROXIMATE_TO
40,49,287.7,0.003476,PROXIMATE_TO
41,42,4.0,0.250979,PROXIMATE_TO
41,43,33.4,0.029909,PROXIMATE_TO
41,44,47.2,0.021208,PROXIMATE_TO
41,45,52.0,0.019215,PROXIMATE_TO
41,46,90.8,0.011014,PROXIMATE_TO
41,47,103.3,0.009679,PROXIMATE_TO
41,48,178.4,0.005606,PROXIMATE_TO
41,49,271.5,0.003683,PROXIMATE_TO
42,43,37.1,0.026969,PROXIMATE_TO
42,44,48.8,0.020473,PROXIMATE_TO
42,45,49.3,0.020291,PROXIMATE_TO
42,46,88.5,0.011294,PROXIMATE_TO
42,47,104.0,0.009611,PROXIMATE_TO
42,48,178.1,0.005615,PROXIMATE_TO
42,49,271.1,0.003689,PROXIMATE_TO
43,44,58.8,0.016993,PROXIMATE_TO
43,45,70.9,0.0141,PROXIMATE_TO
43,46,102.2,0.009783,PROXIMATE_TO
43,47,88.7,0.011269,PROXIMATE_TO
43,48,169.5,0.005899,PROXIMATE_TO
43,49,262.6,0.003808,PROXIMATE_TO
44,45,97.3,0.010277,PROXIMATE_TO
44,46,137.2,0.007288,PROXIMATE_TO
44,47,145.4,0.006879,PROXIMATE_TO
44,48,223.6,0.004472,PROXIMATE_TO
45,46,40.5,0.024671,PROXIMATE_TO
45,47,84.8,0.011799,PROXIMATE_TO
45,48,143.1,0.006988,PROXIMATE_TO
45,49,233.4,0.004284,PROXIMATE_TO
46,47,75.0,0.013335,PROXIMATE_TO
46,48,110.8,0.009027,PROXIMATE_TO
46,49,197.2,0.005071,PROXIMATE_TO
47,48,82.0,0.012197,PROXIMATE_TO
47,49,174.3,0.005736,PROXIMATE_TO
48,49,93.4,0.010709,PROXIMATE_TO
49,50,226.3,0.004419,PROXIMATE_TO
51,55,274.9,0.003638,PROXIMATE_TO
51,58,132.5,0.007544,PROXIMATE_TO
51,60,293.6,0.003406,PROXIMATE_TO
51,71,295.1,0.003389,PROXIMATE_TO
