source_district,target_district,best_lag_months,F_stat,p_value,significant,direction
53,124,2,16.1433,0.0,True,53→124
124,53,2,45.3026,0.0,True,124→53
53,125,2,10.1685,0.00014,True,53→125
125,53,2,33.1019,0.0,True,125→53
53,127,2,24.6669,0.0,True,53→127
127,53,2,31.3434,0.0,True,127→53
53,128,2,29.8814,0.0,True,53→128
128,53,2,34.7396,0.0,True,128→53
53,129,2,22.1277,0.0,True,53→129
129,53,2,34.6449,0.0,True,129→53
53,130,2,21.8749,0.0,True,53→130
130,53,2,30.9028,0.0,True,130→53
54,55,2,26.0414,0.0,True,54→55
55,54,2,27.0044,0.0,True,55→54
54,56,2,15.0407,0.0,True,54→56
56,54,2,25.095,0.0,True,56→54
54,57,2,21.1725,0.0,True,54→57
57,54,2,28.6192,0.0,True,57→54
54,58,2,28.8147,0.0,True,54→58
58,54,2,26.4705,0.0,True,58→54
54,59,2,15.561,0.0,True,54→59
59,54,2,23.1283,0.0,True,59→54
54,60,2,35.817,0.0,True,54→60
60,54,2,24.5056,0.0,True,60→54
54,71,2,21.3089,0.0,True,54→71
71,54,2,28.9922,0.0,True,71→54
54,72,2,18.232,0.0,True,54→72
72,54,2,23.745,0.0,True,72→54
54,122,2,29.8213,0.0,True,54→122
122,54,2,23.5505,0.0,True,122→54
54,124,2,15.8046,0.0,True,54→124
124,54,2,23.3995,0.0,True,124→54
54,127,2,22.2086,0.0,True,54→127
127,54,2,19.7135,0.0,True,127→54
54,128,2,34.1358,0.0,True,54→128
128,54,2,23.2872,0.0,True,128→54
54,129,2,23.1168,0.0,True,54→129
129,54,2,28.0049,0.0,True,129→54
54,130,2,28.9724,0.0,True,54→130
130,54,2,24.6909,0.0,True,130→54
55,57,2,18.4302,0.0,True,55→57
57,55,2,28.3302,0.0,True,57→55
55,58,2,27.489,0.0,True,55→58
58,55,2,32.0752,0.0,True,58→55
55,60,2,33.9333,0.0,True,55→60
60,55,2,26.2442,0.0,True,60→55
55,71,2,21.7022,0.0,True,55→71
71,55,2,34.5678,0.0,True,71→55
55,72,2,17.6654,0.0,True,55→72
72,55,2,26.0624,0.0,True,72→55
55,80,2,14.4799,1e-05,True,55→80
80,55,2,34.7396,0.0,True,80→55
55,107,2,18.7597,0.0,True,55→107
107,55,2,27.8927,0.0,True,107→55
55,122,2,31.2395,0.0,True,55→122
122,55,2,29.966,0.0,True,122→55
55,123,2,24.6061,0.0,True,55→123
123,55,2,23.7683,0.0,True,123→55
55,124,3,15.5812,0.0,True,55→124
124,55,2,25.0827,0.0,True,124→55
55,128,2,35.004,0.0,True,55→128
128,55,2,29.3751,0.0,True,128→55
55,129,2,22.5258,0.0,True,55→129
129,55,2,33.2291,0.0,True,129→55
55,130,2,26.3722,0.0,True,55→130
130,55,2,31.0499,0.0,True,130→55
56,59,2,16.7354,0.0,True,56→59
59,56,3,12.6807,0.0,True,59→56
56,60,2,31.6729,0.0,True,56→60
60,56,2,16.2136,0.0,True,60→56
56,121,2,19.7036,0.0,True,56→121
121,56,2,17.0455,0.0,True,121→56
56,122,2,26.9976,0.0,True,56→122
122,56,2,13.6757,1e-05,True,122→56
56,124,2,17.5568,0.0,True,56→124
124,56,2,16.5048,0.0,True,124→56
56,125,2,9.3201,0.00028,True,56→125
125,56,2,17.933,0.0,True,125→56
56,127,2,22.389,0.0,True,56→127
127,56,2,16.6247,0.0,True,127→56
56,128,2,37.4003,0.0,True,56→128
128,56,2,13.929,1e-05,True,128→56
56,130,2,25.2722,0.0,True,56→130
130,56,2,15.7871,0.0,True,130→56
57,58,2,20.1883,0.0,True,57→58
58,57,2,18.1823,0.0,True,58→57
57,60,2,35.262,0.0,True,57→60
60,57,2,17.3345,0.0,True,60→57
57,71,2,21.4962,0.0,True,57→71
71,57,2,15.8759,0.0,True,71→57
57,72,2,18.5955,0.0,True,57→72
72,57,2,21.0374,0.0,True,72→57
57,80,2,13.231,2e-05,True,57→80
80,57,2,18.2324,0.0,True,80→57
57,122,2,30.0004,0.0,True,57→122
122,57,2,16.4085,0.0,True,122→57
57,123,2,26.2442,0.0,True,57→123
123,57,2,21.2668,0.0,True,123→57
57,124,2,17.169,0.0,True,57→124
124,57,2,23.4324,0.0,True,124→57
57,126,2,16.3671,0.0,True,57→126
126,57,2,22.6768,0.0,True,126→57
57,127,2,20.8237,0.0,True,57→127
127,57,2,17.4812,0.0,True,127→57
57,128,2,32.9375,0.0,True,57→128
128,57,2,16.3178,0.0,True,128→57
57,129,2,24.4338,0.0,True,57→129
129,57,2,21.6371,0.0,True,129→57
57,130,2,24.1282,0.0,True,57→130
130,57,2,21.9186,0.0,True,130→57
58,60,2,39.9834,0.0,True,58→60
60,58,2,25.2118,0.0,True,60→58
58,71,2,19.6703,0.0,True,58→71
71,58,2,27.3241,0.0,True,71→58
58,72,2,18.4807,0.0,True,58→72
72,58,2,20.3981,0.0,True,72→58
58,80,2,16.8868,0.0,True,58→80
80,58,2,21.765,0.0,True,80→58
58,104,2,31.454,0.0,True,58→104
104,58,2,26.7861,0.0,True,104→58
58,107,2,15.847,0.0,True,58→107
107,58,2,21.4029,0.0,True,107→58
