state,district_name,population,literate_pop,working_pop,urban_percentage,literacy_rate,district_id
Karnataka,Ballari,2295933.0,1108276.0,1050687.0,32.6,48.3,263
Karnataka,Belagavi,4214505.0,2305279.0,1877774.0,24.0,54.7,264
Karnataka,Bengaluru Rural,1064812.0,662254.0,453040.0,38.6,62.2,265
Karnataka,Bengaluru Urban,5259082.0,3887740.0,2051666.0,88.6,73.9,266
Karnataka,Bidar,1502373.0,768358.0,557603.0,23.0,51.1,267
Karnataka,Chamarajanagara,965462.0,432700.0,448369.0,15.3,44.8,268
Karnataka,Chikkaballapura,1149007.0,591496.0,600651.0,19.2,51.5,269
Karnataka,Chikkamagaluru,1140905.0,723610.0,516677.0,19.5,63.4,270
Karnataka,Chitradurga,1517896.0,849690.0,721835.0,18.1,56.0,271
Karnataka,Dakshina Kannada,1880541.0,1379287.0,938407.0,37.9,73.3,272
Karnataka,Davangere,1522159.0,917827.0,653915.0,32.9,60.3,273
Karnataka,Dharwad,1604253.0,992550.0,684492.0,55.0,61.9,274
Karnataka,Gadag,971835.0,551362.0,457817.0,35.2,56.7,275
Karnataka,Hassan,1717131.0,1041266.0,862892.0,17.7,60.6,276
Karnataka,Haveri,1439116.0,837509.0,666714.0,20.8,58.2,277
Karnataka,Kalaburagi,2170040.0,983191.0,903389.0,31.6,45.3,278
Karnataka,Kodagu,548561.0,373541.0,266378.0,13.7,68.1,279
Karnataka,Kolar,1387062.0,790771.0,634377.0,29.2,57.0,280
Karnataka,Koppal,1196089.0,534547.0,554506.0,16.6,44.7,281
Karnataka,Mandya,1755212.0,945823.0,837515.0,15.6,53.9,282
Karnataka,Mysuru,2639500.0,1470085.0,1109732.0,37.2,55.7,283
Karnataka,Raichur,1669762.0,676799.0,732762.0,25.2,40.5,284
Karnataka,Ramanagara,1030546.0,553777.0,496323.0,20.9,53.7,285
Karnataka,Shivamogga,1642545.0,1068934.0,714671.0,34.8,65.1,286
Karnataka,Tumakuru,2584711.0,1525485.0,1316939.0,19.6,59.0,287
Karnataka,Udupi,1112243.0,810584.0,488173.0,18.6,72.9,288
Karnataka,Unknown Districts Of India,15315.0,8158.0,5943.0,0.0,53.3,289
Karnataka,Uttara Kannada,1353551.0,903953.0,581229.0,28.7,66.8,290
Karnataka,Vijayapura,1571283.0,709612.0,652730.0,10.9,45.2,291
Karnataka,Yadgir,954963.0,310029.0,443811.0,17.1,32.5,292
Kerala,Alappuzha,2072313.0,1727878.0,713778.0,30.0,83.4,293
Kerala,Ernakulam,2816149.0,2336603.0,1020533.0,42.7,83.0,294
Kerala,Idukki,1117403.0,872808.0,482594.0,4.1,78.1,295
Kerala,Kannur,2408956.0,1971403.0,767197.0,50.3,81.8,296
Kerala,Kasaragod,1204078.0,883860.0,417845.0,19.4,73.4,297
Kerala,Kollam,2585208.0,2090444.0,828566.0,18.0,80.9,298
Kerala,Kottayam,1953646.0,1668266.0,642157.0,15.3,85.4,299
Kerala,Kozhikode,2879131.0,2335442.0,802900.0,38.2,81.1,300
Kerala,Malappuram,3625471.0,2754509.0,874476.0,9.8,76.0,301
Kerala,Palakkad,2617482.0,1938818.0,945052.0,13.6,74.1,302
Kerala,Pathanamthitta,1234016.0,1049876.0,366049.0,10.0,85.1,303
Kerala,Thiruvananthapuram,3234356.0,2558494.0,1047935.0,33.8,79.1,304
Kerala,Thrissur,2958665.0,2424553.0,950451.0,28.4,81.9,305
Kerala,Wayanad,780619.0,576735.0,308613.0,3.8,73.9,306
Ladakh,Kargil,118922.0,60554.0,55496.0,9.0,50.9,307
Ladakh,Leh Ladakh,117232.0,68278.0,58125.0,24.4,58.2,308
Lakshadweep,Lakshadweep District,60650.0,44683.0,15354.0,44.5,73.7,309
Madhya Pradesh,Agar Malwa,480363.0,245583.0,241679.0,20.7,51.1,310
Madhya Pradesh,Alirajpur,610275.0,145743.0,336949.0,7.3,23.9,311
Madhya Pradesh,Anuppur,660019.0,331734.0,284749.0,28.5,50.3,312
Madhya Pradesh,Ashoknagar,688940.0,344760.0,264181.0,16.8,50.0,313
Madhya Pradesh,Balaghat,1497610.0,870539.0,753372.0,13.0,58.1,314
Madhya Pradesh,Barwani,1058805.0,348466.0,511279.0,14.9,32.9,315
Madhya Pradesh,Betul,1391178.0,767062.0,614860.0,18.3,55.1,316
Madhya Pradesh,Bhind,1428559.0,827663.0,525370.0,23.7,57.9,317
